targetSpeed,actualSpeeds,actualTimes,speedFrac
-0.24485;0.247287;-0.576459;0.678041;0.308711;-0.0348875,-0.247448;0.254428;-0.590734;0.664052;0.308281;-0.0346244,1.18877,1
-0.243395;0.243465;-0.568787;0.685042;0.308807;-0.0350099,-0.247448;0.254428;-0.590734;0.664052;0.308281;-0.0346244,1.19677,1
-0.241835;0.239474;-0.560752;0.692047;0.308821;-0.0351262,-0.2462;0.25094;-0.583774;0.671044;0.308536;-0.0347589,1.20477,1
-0.240168;0.235311;-0.55235;0.699055;0.308752;-0.0352362,-0.24485;0.247287;-0.576459;0.678041;0.308711;-0.0348875,1.21277,1
-0.238393;0.230975;-0.543578;0.706065;0.3086;-0.0353397,-0.241835;0.239474;-0.560752;0.692047;0.308821;-0.0351262,1.22077,1
-0.236508;0.226463;-0.53443;0.713077;0.308363;-0.0354369,-0.240168;0.235311;-0.55235;0.699055;0.308752;-0.0352362,1.22877,1
-0.234513;0.221774;-0.524904;0.72009;0.308041;-0.0355274,-0.238393;0.230975;-0.543578;0.706065;0.3086;-0.0353397,1.23677,1
-0.232406;0.216906;-0.514995;0.727104;0.307632;-0.0356113,-0.236508;0.226463;-0.534431;0.713077;0.308363;-0.0354369,1.24477,1
-0.230185;0.211856;-0.504698;0.734119;0.307135;-0.0356884,-0.234513;0.221774;-0.524904;0.72009;0.308041;-0.0355274,1.25277,1
-0.22785;0.206623;-0.494009;0.741132;0.306549;-0.0357587,-0.232406;0.216906;-0.514995;0.727104;0.307632;-0.0356113,1.26077,1
-0.2254;0.201205;-0.482925;0.748145;0.305873;-0.035822,-0.230185;0.211856;-0.504698;0.734119;0.307135;-0.0356884,1.26877,1
-0.222832;0.1956;-0.471442;0.755156;0.305106;-0.0358783,-0.230185;0.211856;-0.504698;0.734119;0.307135;-0.0356884,1.27677,1
-0.220146;0.189806;-0.459554;0.762165;0.304246;-0.0359275,-0.22785;0.206623;-0.494009;0.741132;0.306549;-0.0357587,1.28477,1
-0.21734;0.183822;-0.447258;0.769171;0.303293;-0.0359694,-0.2254;0.201205;-0.482925;0.748145;0.305873;-0.035822,1.29277,1
-0.21441;0.177637;-0.434535;0.776181;0.302245;-0.0360041,-0.220146;0.189806;-0.459554;0.762165;0.304246;-0.0359275,1.30078,1
-0.211362;0.171265;-0.421411;0.78318;0.301102;-0.0360313,-0.21734;0.183822;-0.447258;0.769171;0.303293;-0.0359694,1.30878,1
-0.208189;0.164696;-0.407865;0.790175;0.299862;-0.036051,-0.214414;0.177644;-0.43455;0.776174;0.302246;-0.0360041,1.31678,1
-0.204892;0.157928;-0.393895;0.797164;0.298525;-0.0360631,-0.211362;0.171265;-0.421411;0.78318;0.301102;-0.0360313,1.32478,1
-0.201469;0.15096;-0.379496;0.804147;0.297089;-0.0360675,-0.208189;0.164696;-0.407865;0.790175;0.299862;-0.036051,1.33278,1
-0.197915;0.143783;-0.364649;0.811132;0.295551;-0.0360642,-0.208189;0.164696;-0.407865;0.790175;0.299862;-0.036051,1.34078,1
-0.194237;0.136408;-0.34938;0.818102;0.293914;-0.0360529,-0.204892;0.157928;-0.393895;0.797164;0.298525;-0.0360631,1.34879,1
-0.190428;0.128827;-0.333669;0.825066;0.292175;-0.0360337,-0.201469;0.15096;-0.379496;0.804147;0.297089;-0.0360675,1.35679,1
-0.186486;0.121033;-0.317504;0.832025;0.290332;-0.0360064,-0.201469;0.15096;-0.379496;0.804147;0.297089;-0.0360675,1.36479,1
-0.182414;0.113034;-0.300898;0.838971;0.288385;-0.0359709,-0.194237;0.136408;-0.34938;0.818102;0.293914;-0.0360529,1.37279,1
-0.178208;0.104823;-0.283839;0.845908;0.286333;-0.0359272,-0.190428;0.128827;-0.333669;0.825066;0.292175;-0.0360337,1.38079,1
-0.173867;0.0963981;-0.266322;0.852836;0.284175;-0.0358752,-0.182414;0.113034;-0.300899;0.838971;0.288385;-0.0359709,1.38879,1
-0.16939;0.0877573;-0.248343;0.859754;0.281909;-0.0358147,-0.178208;0.104823;-0.283839;0.845908;0.286333;-0.0359272,1.39679,1
-0.164775;0.0788988;-0.229898;0.86666;0.279534;-0.0357457,-0.173867;0.0963981;-0.266322;0.852836;0.284175;-0.0358752,1.40479,1
-0.160022;0.0698206;-0.210983;0.873555;0.27705;-0.035668,-0.16939;0.0877573;-0.248343;0.859753;0.281909;-0.0358147,1.41279,1
